best_train_loss,best_val_loss,best_train_age_mae,best_val_age_mae,best_train_site_acc,best_val_site_acc,best_train_age_r2,best_val_age_r2,final_beta,final_grl_alpha,epochs,epoch_best_val_loss,epoch_best_val_age_mae,epoch_best_val_site_acc,tract_id
55.63873914657925,54.84957203179299,2.8256191105099777,2.9281382457069727,41.20603015075377,45.81939799331104,-0.0646991729736328,-1.430511474609375e-06,0.001,2.5,800,785,576,1,30
54.372642708783175,55.64225017585882,2.809910712329986,2.920562598218886,41.20603015075377,46.48829431438127,-0.0608797073364257,-0.005236268043518,0.001,2.5,800,4,412,8,31
57.93071719350128,65.92399510412312,2.7945572483279997,2.9215050732411667,41.79229480737018,41.47157190635451,-0.0338857173919677,-0.0254089832305908,0.001,2.5,800,3,104,1,32
52.81669132354072,55.38026397603013,2.7956850964020643,2.920895618738538,41.03852596314909,45.81939799331104,-0.0413711071014404,-0.004152774810791,0.001,2.5,800,4,360,1,33
64.91941850109515,74.5697075323915,2.8241900083807048,2.9188842119580527,41.12227805695142,41.1371237458194,-0.0472056865692138,0.0004612803459167,0.001,2.5,800,7,222,1,34
56.20846534613988,56.99412952537919,2.796492415257235,2.9155200779637367,40.95477386934673,40.13377926421405,-0.045129656791687,-0.0243732929229736,0.001,2.5,800,2,49,1,35
54.068132940448905,57.03039268825365,2.8145407496185557,2.9094543345397135,40.95477386934673,45.81939799331104,-0.0585792064666748,-0.0162373781204223,0.001,2.5,800,4,17,5,36
57.60060117072995,58.01541525544131,2.8092621475008865,2.9168499209809062,41.959798994974875,45.81939799331104,-0.0607838630676269,0.0008697509765625,0.001,2.5,800,2,36,5,37
52.50965915852456,52.37487616905799,2.7990312887795605,2.9209967185821024,36.348408710217754,46.15384615384615,-0.0490018129348754,-0.0191303491592407,0.001,2.5,800,8,21,1,38
52.93817137393919,52.26361447592643,2.8036956060272167,2.914699149370991,40.871021775544385,47.15719063545151,-0.04513680934906,0.0056269168853759,0.001,2.5,800,6,41,4,39
59.03483013491734,60.442278348482574,2.7764492582036824,2.906042024842074,41.37353433835846,45.81939799331104,-0.0295157432556152,-0.0100510120391845,0.001,2.5,800,2,4,5,40
54.68384277241513,55.95312477035267,2.798102782998652,2.915889574931218,41.70854271356784,43.47826086956522,-0.046679139137268,-0.0068079233169555,0.001,2.5,800,4,436,2,41
51.28712839097833,50.06963919955353,2.837498472363905,2.928137045640212,44.13735343383585,45.81939799331104,-0.0596016645431518,-1.5497207641601562e-06,0.001,2.5,800,407,85,1,42
53.41490771423033,62.513565522771216,2.7972713758797703,2.921021970219437,42.04355108877722,45.81939799331104,-0.0474634170532226,-0.0256625413894653,0.001,2.5,800,1,493,6,43
58.23375369635858,67.17372121141108,2.802230913635075,2.9089511477428935,41.289782244556115,45.81939799331104,-0.0509777069091796,0.0030003786087036,0.001,2.5,800,2,799,3,44
55.4667411178001,56.97069335223042,2.797747671104955,2.9098142182149216,41.03852596314909,46.15384615384615,-0.0436315536499023,0.0027299523353576,0.001,2.5,800,3,279,5,45
52.24417431190785,53.85699714226866,2.8113500576722164,2.9217546990882592,41.70854271356784,45.48494983277592,-0.0542336702346801,-0.0286980867385864,0.001,2.5,800,3,68,2,46
