tract_id,age_best_val_mae,age_best_val_r2,age_epochs,site_best_val_acc,site_best_val_loss,site_epochs,vae_best_val_loss,vae_best_val_recon_loss,vae_final_beta,vae_epochs,combined_best_val_age_mae,combined_best_val_site_acc,combined_best_val_loss,combined_final_beta,combined_final_grl_alpha,combined_epochs
12,2.5281458937603496,0.2496848702430725,800,80.60200668896321,0.592710426818567,400,0.004870868175848,0.0020189410531862,0.001,400,2.503941776760446,43.812709030100336,53.76748024420595,0.001,2.5,800
13,2.2413281198329353,0.3609042167663574,800,78.26086956521739,0.5544718583690682,400,0.0057022131412573,0.0031603114900605,0.001,400,2.359733080784214,46.15384615384615,55.40212168103477,0.001,2.5,800
14,2.670683143928298,0.138634443283081,800,69.89966555183946,0.7799624710976081,400,0.0050608578097561,0.0030951739481983,0.001,400,2.5939854467194214,46.82274247491639,51.30625056901504,0.001,2.5,800
15,2.8241037580879236,0.0686078667640686,800,72.24080267558529,0.7449430805384913,400,0.0055151552578627,0.0032139904018379,0.001,400,2.80253840848355,49.49832775919732,50.890212310995146,0.001,2.5,800
16,2.619325566052593,0.1697954535484314,800,78.26086956521739,0.6205153999519986,400,0.0060449336206908,0.0035045231555442,0.001,400,2.6275070168102865,46.15384615384615,53.38927999388015,0.001,2.5,800
17,2.3743890990381655,0.3301455974578857,800,69.23076923076923,0.7832685310306358,400,0.0041046736459792,0.0019932735795435,0.001,400,2.3774695069494856,45.48494983277592,54.41081911425128,0.001,2.5,800
18,2.428307152910775,0.3183537125587463,800,67.55852842809364,0.7958645922284461,400,0.0039550307865587,0.0019729393962646,0.001,400,2.3810229979231208,49.83277591973244,50.73177333819029,0.001,2.5,800
19,2.450633546580439,0.2737888693809509,800,83.27759197324414,0.5098537582418193,400,0.0048493443735965,0.0027575914835227,0.001,400,2.3896821254870564,44.14715719063545,53.37799229191298,0.001,2.5,800
20,2.4419656669017065,0.2882948517799377,800,79.59866220735786,0.5862979874961751,400,0.0031738806512817,0.0023590241680326,0.001,400,2.5037952625631887,48.82943143812709,48.31834530272213,0.001,2.5,800
21,2.838483431666192,0.0592820048332214,800,76.92307692307693,0.6521273259335139,400,0.0057203413600905,0.0033651894771409,0.001,400,2.859692322370599,45.81939799331104,51.4592296128289,0.001,2.5,800
22,2.7420507761148305,0.1402742266654968,800,72.90969899665552,0.7727945151935054,400,0.0023507984467224,0.0016181961365392,0.001,400,2.7628326224642854,45.81939799331104,50.739304379874646,0.001,2.5,800
23,2.742577184402823,0.1327419281005859,800,71.23745819397993,0.7344428560008174,400,0.0043353072965648,0.0019294567142198,0.001,400,2.8098175118998143,48.16053511705686,51.78125307472254,0.001,2.5,800
24,2.1748078977782592,0.4258472919464111,800,83.94648829431438,0.4761941209684646,400,8.71879401841224e-07,8.713205489055381e-07,0.001,400,2.919686671483477,45.81939799331104,60.37599914448716,0.001,2.5,800
25,2.3226704294466254,0.3617737889289856,800,75.58528428093646,0.623437200501611,400,2.905988611377915e-06,2.9051675270135354e-06,0.001,400,2.9200278532544903,45.81939799331104,56.290513156648466,0.001,2.5,800
26,2.1882384931762084,0.4192432165145874,800,85.95317725752508,0.4472259877118777,400,2.526075046143492e-07,2.522786851128075e-07,0.001,400,2.9216563286988633,47.491638795986624,55.11721055404,0.001,2.5,800
27,2.4160299380886117,0.3210001587867737,800,85.28428093645485,0.4079301546648593,400,1.6136420342862824e-06,1.6130153878740784e-06,0.001,400,2.9210295613394135,45.81939799331104,53.07684078663089,0.001,2.5,800
28,2.278148473305846,0.3573729395866394,800,85.28428093645485,0.4383630550226638,400,3.776942612816232e-07,3.772707519559096e-07,0.001,400,2.917967200677929,46.48829431438127,56.8273672531281,0.001,2.5,800
29,2.2848578639652417,0.3302652835845947,800,84.94983277591973,0.449498074708575,400,1.1010212644508172e-06,1.1005145306565385e-06,0.001,400,2.9156292569278475,49.49832775919732,65.00439260476409,0.001,2.5,800
30,2.5221836558951183,0.194130003452301,800,80.60200668896321,0.5342627070021868,400,3.8504626246264215e-08,3.813423970951288e-08,0.001,400,2.9281382457069727,45.81939799331104,54.84957203179299,0.001,2.5,800
31,2.1768195557355083,0.4205712080001831,800,84.61538461538461,0.4397922559924748,400,1.3533207009285765e-07,1.3496178616893353e-07,0.001,400,2.920562598218886,46.48829431438127,55.64225017585882,0.001,2.5,800
32,2.3059340408414504,0.3702248334884643,800,84.94983277591973,0.4248575447594441,400,6.379844604151818e-08,6.351657043505016e-08,0.001,400,2.9215050732411667,41.47157190635451,65.92399510412312,0.001,2.5,800
33,2.3689607967899793,0.3423073291778564,800,79.59866220735786,0.5650815718548753,400,1.0138085675604593e-07,1.0108014150104478e-07,0.001,400,2.920895618738538,45.81939799331104,55.38026397603013,0.001,2.5,800
34,2.4520261295663075,0.2476572394371032,800,79.59866220735786,0.5497641417892482,400,1.1278946208237104e-05,1.1273303967742888e-05,0.001,400,2.9188842119580527,41.1371237458194,74.5697075323915,0.001,2.5,800
35,2.3866631570069687,0.3303465843200683,800,74.24749163879598,0.6368074014434049,400,4.686563043106315e-06,4.684750614840133e-06,0.001,400,2.9155200779637367,40.13377926421405,56.99412952537919,0.001,2.5,800
36,2.438042808934598,0.3155477643013,800,76.92307692307693,0.6651526671588222,400,8.578383224487706e-07,8.572915999747143e-07,0.001,400,2.9094543345397135,45.81939799331104,57.03039268825365,0.001,2.5,800
37,2.1701026245901818,0.4092455506324768,800,81.93979933110369,0.5124729609609049,400,2.9099927264404713e-06,2.909181145383189e-06,0.001,400,2.9168499209809062,45.81939799331104,58.01541525544131,0.001,2.5,800
38,2.5844713628890124,0.1811006665229797,800,80.60200668896321,0.5810657643952896,400,2.5472349631876033e-07,2.54384207932448e-07,0.001,400,2.9209967185821024,46.15384615384615,52.37487616905799,0.001,2.5,800
39,2.56645247449843,0.1784064173698425,800,76.2541806020067,0.6514318916311232,400,1.6213747110906178e-06,1.6207453107193315e-06,0.001,400,2.914699149370991,47.15719063545151,52.26361447592643,0.001,2.5,800
40,2.444850804415036,0.2609337568283081,800,86.95652173913044,0.4807428002955523,400,3.872982932058757e-07,3.868870305951383e-07,0.001,400,2.906042024842074,45.81939799331104,60.442278348482574,0.001,2.5,800
41,2.216507571198071,0.400855541229248,800,74.5819397993311,0.6940082267773988,400,1.0762249495690833e-06,1.0756994604883686e-06,0.001,400,2.915889574931218,43.47826086956522,55.95312477035267,0.001,2.5,800
42,2.1518915871712676,0.4415504932403564,800,76.2541806020067,0.6334199811702588,400,2.069300888500412e-08,2.0368074566978832e-08,0.001,400,2.928137045640212,45.81939799331104,50.06963919955353,0.001,2.5,800
43,2.3550637422198037,0.324205994606018,800,78.59531772575251,0.589264308728502,400,9.238739669984909e-08,9.20072439551885e-08,0.001,400,2.921021970219437,45.81939799331104,62.513565522771216,0.001,2.5,800
44,2.297674211769997,0.3571934700012207,800,82.2742474916388,0.6233906563508471,400,6.722022325760595e-08,6.698280208012759e-08,0.001,400,2.9089511477428935,45.81939799331104,67.17372121141108,0.001,2.5,800
45,2.6460181829522686,0.1641034483909607,800,82.6086956521739,0.4761686867296097,400,1.1371207258746662e-07,1.1344125965611497e-07,0.001,400,2.9098142182149216,46.15384615384615,56.97069335223042,0.001,2.5,800
46,2.4818514254579576,0.2257222533226013,800,71.57190635451505,0.7420795436288202,400,1.1290388710127735e-05,1.1284646178831472e-05,0.001,400,2.9217546990882592,45.48494983277592,53.85699714226866,0.001,2.5,800
47,2.5163016526595405,0.2211548686027526,800,78.26086956521739,0.5905096034541177,400,4.6343873928771755e-06,4.632641763802961e-06,0.001,400,2.9143415589795065,45.81939799331104,52.38542399837022,0.001,2.5,800
